Source,Target,Type,Weight
강태호_Dir_1,강동현_Act_1,Undirected,1
강태호_Dir_1,강인성_Act_1,Undirected,1
강태호_Dir_1,고원석_Act_1,Undirected,1
강태호_Dir_1,고훈_Act_1,Undirected,1
강태호_Dir_1,김 환_Act_1,Undirected,2
강태호_Dir_1,김동형_Act_1,Undirected,2
강태호_Dir_1,김림후_Act_1,Undirected,1
강태호_Dir_1,김민_Act_1,Undirected,1
강태호_Dir_1,김병철_Act_1,Undirected,1
강태호_Dir_1,김성우_Act_1,Undirected,1
강태호_Dir_1,김영일_Act_1,Undirected,1
강태호_Dir_1,김은동_Act_1,Undirected,1
강태호_Dir_1,김정기_Act_1,Undirected,1
강태호_Dir_1,김종태_Act_1,Undirected,1
강태호_Dir_1,김충만_Act_1,Undirected,1
강태호_Dir_1,나호원_Act_1,Undirected,1
강태호_Dir_1,남동현_Act_1,Undirected,1
강태호_Dir_1,노재훈_Act_1,Undirected,1
강태호_Dir_1,노희국_Act_1,Undirected,1
강태호_Dir_1,문형철_Act_1,Undirected,1
강태호_Dir_1,미석_Act_1,Undirected,2
강태호_Dir_1,박상효_Act_1,Undirected,1
강태호_Dir_1,박수찬_Act_1,Undirected,1
강태호_Dir_1,박영덕_Act_1,Undirected,1
강태호_Dir_1,박주빈_Act_1,Undirected,1
강태호_Dir_1,박지산_Act_1,Undirected,1
강태호_Dir_1,박지수_Act_1,Undirected,1
강태호_Dir_1,박진수_Act_1,Undirected,1
강태호_Dir_1,방병현_Act_1,Undirected,1
강태호_Dir_1,배준수_Act_1,Undirected,2
강태호_Dir_1,서갑숙_Act_1,Undirected,1
강태호_Dir_1,선종구_Act_1,Undirected,1
강태호_Dir_1,설재근_Act_1,Undirected,1
강태호_Dir_1,성낙경_Act_1,Undirected,1
강태호_Dir_1,손소영_Act_1,Undirected,1
강태호_Dir_1,신유람_Act_1,Undirected,1
강태호_Dir_1,심재원_Act_1,Undirected,1
강태호_Dir_1,안현순_Act_1,Undirected,1
