Name,RawCentrality
Plato,885
Aristotle,747
Cicero,351
Averroes,313
Thomas Aquinas,288
Voltaire,284
Confucius,283
Immanuel Kant,276
Anselm,269
Ibn Khaldun,267
Bertrand Russell,265
Mozi,254
David Hume,250
Socrates,242
Al-Ghazali,238
Mencius,235
Karl Marx,222
Solomon,217
Al-Farabi,216
Avicenna,203
William James,193
Arius,193
Friedrich Nietzsche,188
Bonaventure,188
Blaise Pascal,186
Ludwig Wittgenstein,182
Plotinus,181
Thucydides,178
Bede,177
Augustine of Hippo,176
John Locke,174
Xenophon,172
Edmund Husserl,170
Alvin Plantinga,169
Tertullian,168
William of Ockham,166
Martin Heidegger,165
Baruch Spinoza,165
Han Fei,163
Sun Tzu,162
Nicholas Wolterstorff,162
Proclus,160
Meister Eckhart,157
Roger Bacon,156
Karl Popper,152
Chanakya,151
Peter van Inwagen,147
Henry of Ghent,144
Pseudo-Dionysius the Areopagite,144
Daniel Dennett,143
Al-Kindi,141
Alasdair MacIntyre,138
Gottlob Frege,138
G. E. Moore,137
Duns Scotus,134
Porphyry,131
Marsilio Ficino,131
Vladimir Solovyov,130
Gorgias,130
Peter Lombard,129
Saul Kripke,129
Nicolas Malebranche,129
Henri Bergson,128
Gabriel Marcel,127
Jean-Luc Marion,126
Isaac Newton,125
Sigmund Freud,124
Albertus Magnus,124
Edward N. Zalta,122
Lucian,121
Giovanni Pico della Mirandola,120
Adi Shankara,120
Noam Chomsky,119
Thomas More,119
Ambrose,118
Alcuin,117
Michael Dummett,115
Galen,115
John Dewey,114
Parmenides,114
Martin Luther,114
Pythagoras,113
Valluvar,113
Lucretius,113
Hilary Putnam,112
Peter Singer,112
William Lane Craig,111
Richard Swinburne,111
Peter Geach,110
Nicholas of Cusa,108
Alonzo Church,107
Martin Buber,106
Chrysippus,106
Antony Flew,105
Ramon Llull,105
Robert Grosseteste,105
Roderick Chisholm,105
Rudolf Carnap,104
Isidore of Seville,103
Xenocrates,103
Arcesilaus,99
Alexander Pruss,99
Gilbert Ryle,99
Apuleius,98
John Stuart Mill,98
Menedemus,98
Carneades,98
Leo Strauss,98
Albert Einstein,97
Iamblichus,97
Clement of Alexandria,96
Elias,96
Thomas Carlyle,96
Abhinavagupta,96
Wilfrid Sellars,95
Pyrrho,95
Boetius of Dacia,95
Hippias,95
Philo of Larissa,94
Ammonius Hermiae,94
Alice Crary,93
Syrianus,93
Speusippus,93
Damascius,92
Paul Tillich,92
Paul Feyerabend,91
Epicurus,91
Bas van Fraassen,91
Alcinous,91
Ammonius Saccas,91
Numenius of Apamea,91
Arthur Schopenhauer,90
Theophrastus,90
Frithjof Schuon,89
Jacques Maritain,89
Mulla Sadra,89
Alfred North Whitehead,89
Paul of Venice,89
Aristides,89
Josiah Royce,88
John of Damascus,88
Vasubandhu,88
Pierre Gassendi,88
Charles Sanders Peirce,88
Dante Alighieri,88
John Rawls,88
Richard Rorty,87
Karl Barth,86
Democritus,86
Ian Hacking,85
Ernst Cassirer,85
Jacques Derrida,85
Karl Rahner,84
Adam Smith,84
Carl Gustav Hempel,83
Bernard of Clairvaux,83
Otto Neurath,83
Hans Reichenbach,83
Ralph Waldo Emerson,83
Fakhr al-Din al-Razi,83
Giambattista Vico,82
Robert Nozick,82
William Alston,82
Charles Darwin,82
Frederick Copleston,82
Jean-Paul Sartre,82
Cyril of Alexandria,81
John McDowell,81
Tommaso Campanella,81
Anthony Kenny,80
Francis Bacon,80
George Berkeley,79
Gilles Deleuze,79
Charles Hartshorne,79
Charles Taylor,79
Reinhold Niebuhr,78
Mircea Eliade,78
Gregory of Nyssa,78
John Searle,78
Jeremy Bentham,77
Ibn Arabi,77
Donald Davidson,77
Hildegard of Bingen,77
Francis of Assisi,77
Friedrich Schleiermacher,77
William Whewell,76
Max Weber,76
Ludwig Feuerbach,76
Bernard Williams,76
Athanasius of Alexandria,76
Ernst Haeckel,76
P. F. Strawson,75
Ramanuja,75
Giordano Bruno,75
Rudolf Bultmann,75
Thales,75
Pope Gregory I,74
Derek Parfit,74
Crispin Wright,74
John Henry Newman,74
Ibn Hazm,74
Auguste Comte,74
Edith Stein,73
Pierre Teilhard de Chardin,73
George Santayana,73
David Chalmers,73
Jean Vanier,72
Francisco de Vitoria,72
Baron d'Holbach,72
Susan Haack,72
Thomas Nagel,72
Sextus Empiricus,72
Robert Audi,71
Galileo Galilei,71
Luis de Molina,71
Timothy Williamson,71
Mao Zedong,71
Ernst Troeltsch,71
Kapila,70
Ibn Daud,70
Hasdai Crescas,70
Thomas Merton,70
Gersonides,70
Ernest Sosa,70
Epictetus,69
C. D. Broad,69
Rudolf Otto,69
Rabanus Maurus,69
Bernard Lonergan,68
Ptolemy,68
Dietrich von Hildebrand,68
Johannes Tauler,68
Nelson Goodman,68
Protagoras,68
Maurice Blondel,67
Desiderius Erasmus,67
Alfred Tarski,67
Walter Hilton,67
Joachim of Fiore,67
Peter Kreeft,67
Michel Foucault,66
Novalis,66
Patrick Suppes,66
Sun Yat-sen,66
Thomas Cajetan,66
Posidonius,65
Zeno of Sidon,65
Thomas Hobbes,65
Alexander of Aphrodisias,65
Alice von Hildebrand,65
Saadia Gaon,65
Walter Kaufmann,65
Lev Shestov,65
David Kaplan,65
Michael Tye,64
Dharmakirti,64
Martha Nussbaum,64
Edmund Gettier,64
Emanuel Swedenborg,64
Paul Churchland,63
Ibn Bajjah,63
Miskawayh,63
Emil Brunner,63
Anaxagoras,63
Vladimir Lenin,63
Nicholas Rescher,63
Marcus Aurelius,63
Nagarjuna,62
Henry More,62
Longinus,62
G. E. M. Anscombe,62
Thomas Reid,61
Robert Merrihew Adams,61
Ralph Cudworth,61
Ibn Masarra,61
Jaegwon Kim,60
Zeno of Citium,60
Afrikan Spir,60
Empedocles,60
Jaimini,60
Heraclides Ponticus,60
Simone de Beauvoir,60
Clitomachus,60
Strato of Lampsacus,59
Patricia Churchland,59
William Wollaston,59
Moritz Schlick,59
Apollonius of Tyana,58
Buddhaghosa,58
Mahatma Gandhi,58
Zhu Xi,58
Fred Dretske,58
Carl Jung,58
Deng Xi,58
Albinus,58
Roman Ingarden,57
R. M. Hare,57
Robert Brandom,56
Vedanta Desika,56
Jaakko Hintikka,56
Hannah Arendt,56
Anaximander,56
Cleanthes,56
Panaetius,56
Willard Van Orman Quine,56
Philippa Foot,55
Walter Benjamin,55
Calcidius,55
Friedrich Waismann,55
Bernard Bolzano,55
Alan Turing,55
Archytas,55
Aenesidemus,55
Hippocrates,55
David the Invincible,54
Emmanuel Levinas,54
Jerry Fodor,54
