Name,Date,Century,Wikipedia_Link
Isaac ben Judah Abravanel,1437??508[1][2][3],15th??6th,https://en.wikipedia.org/wiki/Isaac_Abrabanel
Judah ben Isaac Abravanel,c. 1460?c. 1535[1][2],15th??6th,https://en.wikipedia.org/wiki/Judah_Leon_Abravanel
Alessandro Achillini,1463??512,15th??6th,https://en.wikipedia.org/wiki/Alessandro_Achillini
Uriel Acosta,1585??640,15th??6th,https://en.wikipedia.org/wiki/Uriel_Acosta
Rodolphus Agricola,1443??485[2],15th??6th,https://en.wikipedia.org/wiki/Rodolphus_Agricola
Heinrich Cornelius Agrippa,1436??535[2][3]*,15th??6th,https://en.wikipedia.org/wiki/Heinrich_Cornelius_Agrippa
Leone Battista Alberti,1404??472,15th??6th,https://en.wikipedia.org/wiki/Leone_Battista_Alberti
Yohanan ben Isaac Alemanno,1433??504[2],15th??6th,https://en.wikipedia.org/wiki/Yohanan_ben_Isaac_Alemanno
Isaac ben Moses Arama,1420??494[2],15th??6th,https://en.wikipedia.org/wiki/Isaac_ben_Moses_Arama
Jacobus Arminius,1560??609[1],15th??6th,https://en.wikipedia.org/wiki/Jacobus_Arminius
Francis Bacon,1561??626[1][4]12[2][3],15th??6th,https://en.wikipedia.org/wiki/Francis_Bacon_(philosopher)
Domingo BÃ¡Ã±ez,1528??604[1][2],15th??6th,https://en.wikipedia.org/wiki/Domingo_B%C3%A1%C3%B1ez
Sebastiano Basso,16th century,15th??6th,https://en.wikipedia.org/wiki/Sebastiano_Basso
Gabriel Biel,1425??495[2],15th??6th,https://en.wikipedia.org/wiki/Gabriel_Biel
Jean Bodin,1530??596[1][4]12[2][3],15th??6th,https://en.wikipedia.org/wiki/Jean_Bodin
Jakob BÃ¶hme,1575??624[1][2],15th??6th,https://en.wikipedia.org/wiki/Jakob_B%C3%B6hme
Giovanni Botero,c. 1544??617,15th??6th,https://en.wikipedia.org/wiki/Giovanni_Botero
Giordano Bruno,1548??600[1][4]12[2][3]*,15th??6th,https://en.wikipedia.org/wiki/Giordano_Bruno
Thomas Cajetan,1469??534[1][4]12[2],15th??6th,https://en.wikipedia.org/wiki/Thomas_Cajetan
John Calvin,1509??564[1][4]2[2],15th??6th,https://en.wikipedia.org/wiki/John_Calvin
Tommaso Campanella,1568??639[1][4]12[2][3],15th??6th,https://en.wikipedia.org/wiki/Tommaso_Campanella
Gerolamo Cardano,1501??576[2],15th??6th,https://en.wikipedia.org/wiki/Gerolamo_Cardano
Andrea Cesalpino,1519??603,15th??6th,https://en.wikipedia.org/wiki/Andrea_Cesalpino
Chaitanya Mahaprabhu,1486??534,15th??6th,https://en.wikipedia.org/wiki/Chaitanya_Mahaprabhu
Pierre Charron,1541??603[1][2],15th??6th,https://en.wikipedia.org/wiki/Pierre_Charron
