Name,Date,Century,Wikipedia_Link
Elisa Aaltola,born 1976,20th,https://en.wikipedia.org/wiki/Elisa_Aaltola
Richard Aaron,1901??987,20th,https://en.wikipedia.org/wiki/Richard_Aaron
Gholamreza Aavani,born 1943,20th,https://en.wikipedia.org/wiki/Gholamreza_Aavani
Nicola Abbagnano,1901??990,20th,https://en.wikipedia.org/wiki/Nicola_Abbagnano
Ruth Abbey,born 1961,20th,https://en.wikipedia.org/wiki/Ruth_Abbey
Bijan Abdolkarimi,born 1963,20th,https://en.wikipedia.org/wiki/Bijan_Abdolkarimi
Taha Abdurrahman,born 1944,20th,https://en.wikipedia.org/wiki/Taha_Abdurrahman
Masao Abe,1915??006,20th,https://en.wikipedia.org/wiki/Masao_Abe
Henry D. Abelove,born 1945,20th,https://en.wikipedia.org/wiki/Henry_D._Abelove
Raziel Abelson,1921??017,20th,https://en.wikipedia.org/wiki/Raziel_Abelson
Miguel Abensour,1939??017,20th,https://en.wikipedia.org/wiki/Miguel_Abensour
William Emmanuel Abraham,born 1934,20th,https://en.wikipedia.org/wiki/William_Emmanuel_Abraham
David Abram,born 1957,20th,https://en.wikipedia.org/wiki/David_Abram
Gerd B. Achenbach,born 1947,20th,https://en.wikipedia.org/wiki/Gerd_B._Achenbach
Peter Achinstein,born 1935,20th,https://en.wikipedia.org/wiki/Peter_Achinstein
Hans Achterhuis,born 1942,20th,https://en.wikipedia.org/wiki/Hans_Achterhuis
Felicia Nimue Ackerman,born 1947,20th,https://en.wikipedia.org/wiki/Felicia_Nimue_Ackerman
J. L. Ackrill,1921??007,20th,https://en.wikipedia.org/wiki/J._L._Ackrill
H. B. Acton,1908??974,20th,https://en.wikipedia.org/wiki/H._B._Acton
Carol J. Adams,born 1951,20th,https://en.wikipedia.org/wiki/Carol_J._Adams
James Luther Adams,1901??994,20th,https://en.wikipedia.org/wiki/James_Luther_Adams
Marilyn McCord Adams,1943??017[b][c],20th,https://en.wikipedia.org/wiki/Marilyn_McCord_Adams
Maynard Adams,1919??003,20th,https://en.wikipedia.org/wiki/Maynard_Adams
Robert Merrihew Adams,1937??024[b][c],20th,https://en.wikipedia.org/wiki/Robert_Merrihew_Adams
Peter Adamson,born 1972,20th,https://en.wikipedia.org/wiki/Peter_Adamson_(academic)
Matthew Adler,born 1962,20th,https://en.wikipedia.org/wiki/Matthew_Adler
Mortimer J. Adler,1902??001,20th,https://en.wikipedia.org/wiki/Mortimer_J._Adler
