Name,In-Degree Centrality,Out-Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,RawCentrality,Calculated_In_Degree_Count,ActivityYear,AdjustedCentrality,Century
Abhinavagupta,0.0309501702259362,0.0201176106468585,0.3619022424176405,0.0061324591290281,0.0118884413378813,0,100,1025.0,0.0,1st??0th
Avicenna,0.0671618693902816,0.0201176106468585,0.4336044269930231,0.0047462752712433,0.1001103683196226,0,217,1037.0,0.0,1st??0th
Ibn Hazm,0.0235221293717115,0.0061900340451872,0.3396786952544972,0.0003640830937116,0.0289705036910783,0,76,1069.0,0.0,1st??0th
Abbo of Fleury,0.0,0.0003095017022593,0.0,0.0,4.997075122549391e-32,0,0,1004.0,0.0,1st??0th
Gerbert of Aurillac,0.0006190034045187,0.0015475085112968,0.201766511812991,0.0002401338632323,1.57783069044132e-05,0,2,1003.0,0.0,1st??0th
Abd al-Jabbar ibn Ahmad,0.0030950170225936,0.0027855153203342,0.3029643070748383,0.000606211620363,0.0019779589191887,0,10,1025.0,0.0,1st??0th
Ibn Furak,0.0080470442587434,0.0049520272361497,0.3116444903436065,1.1127031370657698e-05,0.0049754334852804,0,26,1015.0,0.0,1st??0th
Al-Mawardi,0.0037140204271123,0.0030950170225936,0.3093953048900546,2.497339615878652e-05,0.0032043945916783,0,12,1058.0,0.0,1st??0th
Al-Baqillani,0.007737542556484,0.0030950170225936,0.315660266667471,2.436574248817512e-05,0.0065119104909195,0,25,1013.0,0.0,1st??0th
Hamid al-Din al-Kirmani,0.0136180748994119,0.0052615289384091,0.3230410641261186,8.590739335324387e-05,0.0120759937998279,0,44,1021.0,0.0,1st??0th
