Name,RawCentrality
Plato,960
Aristotle,809
Cicero,374
Averroes,333
Immanuel Kant,317
Voltaire,313
Thomas Aquinas,307
Confucius,306
Bertrand Russell,299
Ibn Khaldun,286
David Hume,281
Anselm,278
Mozi,271
Socrates,259
Al-Ghazali,252
Mencius,248
Karl Marx,243
Solomon,232
Al-Farabi,223
Avicenna,216
Ludwig Wittgenstein,213
William James,210
Friedrich Nietzsche,210
Arius,201
John Locke,196
Blaise Pascal,193
Bonaventure,192
Martin Heidegger,191
Edmund Husserl,190
Alvin Plantinga,188
Plotinus,187
Bede,185
Thucydides,185
Augustine of Hippo,184
Xenophon,179
Baruch Spinoza,179
Nicholas Wolterstorff,176
Karl Popper,175
William of Ockham,174
Tertullian,172
Han Fei,170
Sun Tzu,169
Proclus,165
Roger Bacon,165
Meister Eckhart,165
Peter van Inwagen,162
Daniel Dennett,161
Alasdair MacIntyre,160
Gottlob Frege,160
Chanakya,158
G. E. Moore,156
Al-Kindi,148
Saul Kripke,148
Henry of Ghent,147
Pseudo-Dionysius the Areopagite,147
Peter Singer,143
Noam Chomsky,142
Duns Scotus,141
Gorgias,139
Vladimir Solovyov,137
Henri Bergson,136
Sigmund Freud,136
Nicolas Malebranche,136
Gabriel Marcel,136
Jean-Luc Marion,135
Marsilio Ficino,134
William Lane Craig,134
Isaac Newton,133
John Dewey,133
Hilary Putnam,133
Michael Dummett,133
Peter Lombard,133
Porphyry,131
Edward N. Zalta,130
Peter Geach,129
Rudolf Carnap,128
Lucian,128
Richard Swinburne,128
Albertus Magnus,127
Alonzo Church,126
Adi Shankara,125
Martin Luther,124
Thomas More,124
Galen,123
Ambrose,123
Giovanni Pico della Mirandola,123
Parmenides,122
Alcuin,121
Roderick Chisholm,120
Lucretius,120
Valluvar,120
Antony Flew,120
Alice Crary,119
Gilbert Ryle,118
John Rawls,115
Pythagoras,115
Alexander Pruss,113
Chrysippus,113
Martin Buber,113
Richard Rorty,112
John Stuart Mill,112
Nicholas of Cusa,111
Wilfrid Sellars,111
Paul Feyerabend,109
