Name,Date,Century,Wikipedia_Link
Jacob Friedrich von Abel,1751??829,18th,https://en.wikipedia.org/wiki/Jacob_Friedrich_von_Abel
John Abercrombie,1780??844[f],18th,https://en.wikipedia.org/wiki/John_Abercrombie_(physician)
Johann Heinrich Abicht,1762??816,18th,https://en.wikipedia.org/wiki/Johann_Heinrich_Abicht
John Adams,1735??826,18th,https://en.wikipedia.org/wiki/John_Adams
Francesco Algarotti,1712??764,18th,https://en.wikipedia.org/wiki/Francesco_Algarotti
Archibald Alison,1757??839[d],18th,https://en.wikipedia.org/wiki/Archibald_Alison_(Scottish_author)
John Allen,1771??843[f],18th,https://en.wikipedia.org/wiki/John_Allen_(historian)
Anton Wilhelm Amo,1703 ??c. 1759[d],18th,https://en.wikipedia.org/wiki/Anton_Wilhelm_Amo
Robert Aspland,1782??845[f],18th,https://en.wikipedia.org/wiki/Robert_Aspland
Georg Anton Friedrich Ast,1778??841,18th,https://en.wikipedia.org/wiki/Georg_Anton_Friedrich_Ast
John Austin,1790??859[a][b][c][d][e][f],18th,https://en.wikipedia.org/wiki/John_Austin_(legal_philosophy)
Pierre Hyacinthe Azais,1766??845,18th,https://en.wikipedia.org/wiki/Pierre_Hyacinthe_Azais
Franz Xaver von Baader,1765??841,18th,https://en.wikipedia.org/wiki/Franz_Xaver_von_Baader
Charles Babbage,1791??871[a][f],18th,https://en.wikipedia.org/wiki/Charles_Babbage
Samuel Bailey,1791??870[f],18th,https://en.wikipedia.org/wiki/Samuel_Bailey
Pierre-Simon Ballanche,1776??847,18th,https://en.wikipedia.org/wiki/Pierre-Simon_Ballanche
John Ballantyne,1778??830[f],18th,https://en.wikipedia.org/wiki/John_Ballantyne_(divine)
Christoph Gottfried Bardili,1761??808,18th,https://en.wikipedia.org/wiki/Christoph_Gottfried_Bardili
Alexander Gottlieb Baumgarten,1714??762[a][d],18th,https://en.wikipedia.org/wiki/Alexander_Gottlieb_Baumgarten
James Beattie,1735??803[a][d],18th,https://en.wikipedia.org/wiki/James_Beattie_(writer)
Cesare Marquis of Beccaria,1738??794[a],18th,"https://en.wikipedia.org/wiki/Cesare,_Marquis_of_Beccaria"
Jacob Sigismund Beck,1761??840[d],18th,https://en.wikipedia.org/wiki/Jacob_Sigismund_Beck
Charles Bell,1774??842[f],18th,https://en.wikipedia.org/wiki/Charles_Bell
Thomas Belsham,1750??829[f],18th,https://en.wikipedia.org/wiki/Thomas_Belsham
William Belsham,1752??829[f],18th,https://en.wikipedia.org/wiki/William_Belsham
Friedrich Eduard Beneke,1798??854[a],18th,https://en.wikipedia.org/wiki/Friedrich_Eduard_Beneke
Jeremy Bentham,1748??832[a][b][c][d],18th,https://en.wikipedia.org/wiki/Jeremy_Bentham
William Blackstone,1723??780[d],18th,https://en.wikipedia.org/wiki/William_Blackstone
Hugh Blair,1718??800[d],18th,https://en.wikipedia.org/wiki/Hugh_Blair
William Blake,1757??827[f],18th,https://en.wikipedia.org/wiki/William_Blake
Robert Blakey,1795??878[f],18th,https://en.wikipedia.org/wiki/Robert_Blakey_(writer)
Bernard Bolzano,1781??848[a][b][c][d][e]*,18th,https://en.wikipedia.org/wiki/Bernard_Bolzano
Louis Gabriel Ambroise de Bonald,1754??840,18th,https://en.wikipedia.org/wiki/Louis_Gabriel_Ambroise_de_Bonald
Charles Bonnet,1720??793[d],18th,https://en.wikipedia.org/wiki/Charles_Bonnet
Rudjer Boscovich,1711??787[a],18th,https://en.wikipedia.org/wiki/Rudjer_Boscovich
David Brewster,1781??868[f],18th,https://en.wikipedia.org/wiki/David_Brewster
Jean Anthelme Brillat-Savarin,1755??826[b][c],18th,https://en.wikipedia.org/wiki/Jean_Anthelme_Brillat-Savarin
Benjamin Collins Brodie,1783??862[f],18th,"https://en.wikipedia.org/wiki/Sir_Benjamin_Collins_Brodie,_1st_Baronet"
Henry Brougham,1778??868[f],18th,"https://en.wikipedia.org/wiki/Henry_Brougham,_1st_Baron_Brougham_and_Vaux"
Thomas Brown,1778??820[d][f],18th,https://en.wikipedia.org/wiki/Thomas_Brown_(philosopher)
Robert Buchanan,1786??873[f],18th,https://en.wikipedia.org/wiki/Robert_Buchanan_(logic_teacher)
Georges-Louis Leclerc Comte de Buffon,1707??788[d],18th,"https://en.wikipedia.org/wiki/Georges-Louis_Leclerc,_Comte_de_Buffon"
William Burdon,1764??818[f],18th,https://en.wikipedia.org/wiki/William_Burdon
Edmund Burke,1729??797[a][b][c][d][e],18th,https://en.wikipedia.org/wiki/Edmund_Burke
Lawrence Butterworth,1740??828[f],18th,https://en.wikipedia.org/w/index.php?title=Lawrence_Butterworth&action=edit&redlink=1
Pierre Jean George Cabanis,1757??808[d],18th,https://en.wikipedia.org/wiki/Pierre_Jean_George_Cabanis
