Name,In-Degree Centrality,Out-Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,RawCentrality,Calculated_In_Degree_Count,ActivityYear,AdjustedCentrality,Century
Raghunatha Siromani,0.0123800680903744,0.0034045187248529,0.2851533368555311,2.41427572690978e-06,0.0014258257708199,0,40,1477.0,0.0,15th??6th
Nicholas of Cusa,0.0343546889507892,0.032497678737233,0.3519829223223973,0.0010509241769202,0.0482774730724226,0,111,1401.0,0.0,15th??6th
Chaitanya Mahaprabhu,0.0092850510677808,0.0089755493655215,0.2776307202546756,9.563992162091988e-05,0.0011176389081956,0,30,1486.0,0.0,15th??6th
Fujiwara Seika,0.0037140204271123,0.0,0.2758152981868632,0.0,0.0009053413112215,0,12,1561.0,0.0,15th??6th
Vyasatirtha,0.0117610646858557,0.0049520272361497,0.2790926340520914,0.0002156257996574,0.0012042139471446,0,38,1460.0,0.0,15th??6th
Yi Hwang,0.0037140204271123,0.0018570102135561,0.276498393500341,0.0002299389403761,0.0009389419944901,0,12,1501.0,0.0,15th??6th
Yi I,0.007737542556484,0.0003095017022593,0.3059853639838453,9.640609220345657e-06,0.0024112755578167,0,25,1536.0,0.0,15th??6th
Giordano Bruno,0.0235221293717115,0.0052615289384091,0.3493256516086392,0.0016894942751658,0.0330594777835197,0,76,1548.0,0.0,15th??6th
Marsilio Ficino,0.0417827298050139,0.0445682451253481,0.3830647257127588,0.0040811710689627,0.0657973538347438,0,135,1433.0,0.0,15th??6th
Giovanni Pico della Mirandola,0.0383782110801609,0.0266171463943051,0.3603365343231267,0.0016179910824147,0.0611135950519467,0,124,1463.0,0.0,15th??6th
