Name,In-Degree Centrality,Out-Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,RawCentrality,Calculated_In_Degree_Count,ActivityYear,AdjustedCentrality,Century
Jan Zwicky,0.0,0.0012380068090374,0.0,0.0,4.997075122549391e-32,0,0,1955.0,0.0,20th
Robert Fogelin,0.0037140204271123,0.0018570102135561,0.2960416941884934,2.215279209908935e-05,0.0031545317132648,0,12,1932.0,0.0,20th
Benson Mates,0.0034045187248529,0.0021665119158155,0.2924187544060683,4.7935953721786185e-05,0.0027478268111484,0,11,1919.0,0.0,20th
Edwin Bryant,0.0015475085112968,0.0003095017022593,0.2322991921805797,1.1839541889886828e-06,3.391754364965948e-05,0,5,1957.0,0.0,20th
Marcel Conche,0.0006190034045187,0.000928505106778,0.2864140855447136,0.0003235422235908,0.0010586551500313,0,2,1922.0,0.0,20th
Jacques Derrida,0.032497678737233,0.021355617455896,0.3509658755928359,0.009806041478709,0.0104476885332843,0,105,1930.0,0.0,20th
Werner Heisenberg,0.0061900340451872,0.0027855153203342,0.3156944512317625,8.687508230854874e-05,0.0026603645855271,0,20,1901.0,0.0,20th
Karl Popper,0.057257814917982,0.0557103064066852,0.4101762435168277,0.0157043932440426,0.0671115783960929,0,185,1902.0,0.0,20th
John Sallis,0.0006190034045187,0.0021665119158155,0.2783464683160598,0.0003043497233007,0.0004486975549801,0,2,1938.0,0.0,20th
Damon Young,0.0,0.0006190034045187,0.0,0.0,4.997075122549391e-32,0,0,1975.0,0.0,20th
