번호,이름
1,소크라테스 (Socrates)
2,플라톤 (Plato)
3,아리스토텔레스
4,공자 (Confucius)
5,노자 (Laozi)
6,칸트 (Kant)
7,헤겔 (Hegel)
8,마르크스 (Marx)
9,니체 (Nietzsche)
10,하이데거 (Heidegger)
11,사르트르 (Sartre)
12,데카르트 (Descartes)
13,루소 (Rousseau)
14,홉스 (Hobbes)
15,존 로크 (Locke)
16,버클리 (Berkeley)
17,흄 (Hume)
18,스피노자 (Spinoza)
19,라이프니츠 (Leibniz)
20,푸코 (Foucault)
21,들뢰즈 (Deleuze)
22,데리다 (Derrida)
23,비트겐슈타인
24,러셀 (Russell)
25,프레게 (Frege)
26,밀 (John Stuart Mill)
27,벤담 (Bentham)
28,키에르케고르
29,쇼펜하우어
30,아퀴나스 (Aquinas)
31,아우구스티누스
32,이븐 시나 (Avicenna)
33,이븐 루시드 (Averroes)
34,모이세 마이모니데스
35,알 키디 (al-Kindi)
36,나가르주나 (Nagarjuna)
37,찬드라키르티
38,장자 (Zhuangzi)
39,한나 아렌트 (Arendt)
40,시몬 드 보부아르
41,주디스 버틀러
42,찰스 퍼스 (Peirce)
43,윌리엄 제임스
44,존 듀이 (Dewey)
45,리차드 로티 (Rorty)
46,가다머 (Gadamer)
47,칼 포퍼 (Popper)
48,토마스 쿤 (Kuhn)
49,아이리스 머독
50,코넬 웨스트
