Source,Target,Weight
Aristotle,Cicero,1
Aristotle,Confucius,1
Aristotle,Han Fei,1
Aristotle,Mencius,1
Aristotle,Mozi,1
Aristotle,Plato,1
Aristotle,Socrates,1
Aristotle,Solomon,1
Aristotle,Sun Tzu,1
Aristotle,Thucydides,1
Aristotle,Xenophon,1
Aristotle,Avicenna,1
Aristotle,Al-Farabi,1
Aristotle,Plotinus,1
Aristotle,Proclus,1
Aristotle,Al-Ghazali,1
Aristotle,Averroes,1
Aristotle,Ibn Khaldun,1
Aristotle,Thomas Aquinas,1
Aristotle,Voltaire,1
Aristotle,Bertrand Russell,1
Cicero,Aristotle,1
Cicero,Confucius,1
Cicero,Han Fei,1
Cicero,Mencius,1
Cicero,Mozi,1
Cicero,Plato,1
Cicero,Socrates,1
Cicero,Sun Tzu,1
Cicero,Thucydides,1
Cicero,Xenophon,1
Cicero,Arius,1
Cicero,Augustine of Hippo,1
Cicero,Al-Farabi,1
Cicero,Plotinus,1
Cicero,Proclus,1
Cicero,Tertullian,1
Cicero,Al-Ghazali,1
Cicero,Anselm,1
Cicero,Averroes,1
Cicero,Bonaventure,1
Cicero,Ibn Khaldun,1
Cicero,Meister Eckhart,1
Cicero,Thomas Aquinas,1
Cicero,John Locke,1
Cicero,Blaise Pascal,1
Cicero,Voltaire,1
Cicero,David Hume,1
Cicero,Gottlob Frege,1
Cicero,Edmund Husserl,1
Cicero,Peter van Inwagen,1
Cicero,Alvin Plantinga,1
Cicero,Nicholas Wolterstorff,1
Confucius,Aristotle,1
Confucius,Cicero,1
Confucius,Han Fei,1
Confucius,Mencius,1
Confucius,Mozi,1
Confucius,Plato,1
Confucius,Socrates,1
Confucius,Sun Tzu,1
Confucius,Thucydides,1
Confucius,Xenophon,1
Confucius,Al-Farabi,1
Confucius,Tertullian,1
Confucius,Al-Ghazali,1
Confucius,Averroes,1
Confucius,Ibn Khaldun,1
Confucius,Voltaire,1
Han Fei,Aristotle,1
Han Fei,Cicero,1
Han Fei,Confucius,1
Han Fei,Mencius,1
Han Fei,Mozi,1
Han Fei,Plato,1
Han Fei,Sun Tzu,1
Han Fei,Thucydides,1
Han Fei,Xenophon,1
Han Fei,Al-Farabi,1
Han Fei,Al-Ghazali,1
Han Fei,Averroes,1
Han Fei,Ibn Khaldun,1
Han Fei,Voltaire,1
Mencius,Aristotle,1
Mencius,Cicero,1
Mencius,Confucius,1
Mencius,Han Fei,1
Mencius,Mozi,1
Mencius,Plato,1
Mencius,Socrates,1
Mencius,Sun Tzu,1
Mencius,Thucydides,1
Mencius,Xenophon,1
Mencius,Al-Farabi,1
Mencius,Tertullian,1
Mencius,Al-Ghazali,1
Mencius,Averroes,1
Mencius,Ibn Khaldun,1
Mencius,Voltaire,1
Mozi,Aristotle,1
Mozi,Cicero,1
Mozi,Confucius,1
Mozi,Han Fei,1
Mozi,Mencius,1
Mozi,Plato,1
Mozi,Socrates,1
Mozi,Sun Tzu,1
Mozi,Thucydides,1
Mozi,Xenophon,1
Mozi,Al-Farabi,1
Mozi,Tertullian,1
Mozi,Al-Ghazali,1
Mozi,Averroes,1
Mozi,Ibn Khaldun,1
Mozi,Voltaire,1
Plato,Aristotle,1
Plato,Cicero,1
Plato,Confucius,1
Plato,Han Fei,1
Plato,Mencius,1
Plato,Mozi,1
Plato,Socrates,1
Plato,Sun Tzu,1
Plato,Thucydides,1
Plato,Xenophon,1
Plato,Avicenna,1
Plato,Al-Farabi,1
Plato,Plotinus,1
Plato,Proclus,1
Plato,Tertullian,1
Plato,Al-Ghazali,1
Plato,Anselm,1
Plato,Averroes,1
Plato,Ibn Khaldun,1
Plato,John Locke,1
Plato,Baruch Spinoza,1
Plato,Voltaire,1
Plato,David Hume,1
Plato,Immanuel Kant,1
Plato,Gottlob Frege,1
Plato,Bertrand Russell,1
Plato,Ludwig Wittgenstein,1
Plato,Alvin Plantinga,1
Plato,Karl Popper,1
Plato,Nicholas Wolterstorff,1
Socrates,Aristotle,1
Socrates,Cicero,1
Socrates,Confucius,1
Socrates,Mencius,1
Socrates,Mozi,1
Socrates,Plato,1
Socrates,Thucydides,1
Socrates,Xenophon,1
Socrates,Plotinus,1
Socrates,Proclus,1
Socrates,Voltaire,1
Socrates,Friedrich Nietzsche,1
Socrates,Karl Popper,1
Solomon,Arius,1
Solomon,Thomas Aquinas,1
Sun Tzu,Aristotle,1
Sun Tzu,Cicero,1
Sun Tzu,Confucius,1
Sun Tzu,Han Fei,1
Sun Tzu,Mencius,1
Sun Tzu,Mozi,1
Sun Tzu,Plato,1
Sun Tzu,Thucydides,1
Sun Tzu,Xenophon,1
Sun Tzu,Al-Farabi,1
Sun Tzu,Al-Ghazali,1
Sun Tzu,Averroes,1
Sun Tzu,Ibn Khaldun,1
Sun Tzu,Voltaire,1
Thucydides,Aristotle,1
Thucydides,Cicero,1
Thucydides,Confucius,1
Thucydides,Han Fei,1
Thucydides,Mencius,1
Thucydides,Mozi,1
Thucydides,Plato,1
Thucydides,Socrates,1
Thucydides,Sun Tzu,1
Thucydides,Xenophon,1
Thucydides,Al-Farabi,1
Thucydides,Tertullian,1
Thucydides,Al-Ghazali,1
Thucydides,Averroes,1
Thucydides,Ibn Khaldun,1
Thucydides,Voltaire,1
Thucydides,Friedrich Nietzsche,1
Thucydides,Karl Popper,1
Xenophon,Aristotle,1
Xenophon,Cicero,1
Xenophon,Confucius,1
Xenophon,Han Fei,1
Xenophon,Mencius,1
Xenophon,Mozi,1
Xenophon,Plato,1
Xenophon,Socrates,1
Xenophon,Sun Tzu,1
Xenophon,Thucydides,1
Xenophon,Al-Farabi,1
Xenophon,Al-Ghazali,1
Xenophon,Averroes,1
Xenophon,Ibn Khaldun,1
Xenophon,Voltaire,1
Arius,Socrates,1
Augustine of Hippo,Aristotle,1
Augustine of Hippo,Cicero,1
Augustine of Hippo,Confucius,1
Augustine of Hippo,Mencius,1
Augustine of Hippo,Mozi,1
Augustine of Hippo,Plato,1
Augustine of Hippo,Socrates,1
Augustine of Hippo,Solomon,1
Augustine of Hippo,Thucydides,1
Augustine of Hippo,Arius,1
Augustine of Hippo,Avicenna,1
Augustine of Hippo,Bede,1
Augustine of Hippo,Al-Farabi,1
Augustine of Hippo,Plotinus,1
Augustine of Hippo,Proclus,1
Augustine of Hippo,Tertullian,1
Augustine of Hippo,Al-Ghazali,1
Augustine of Hippo,Anselm,1
Augustine of Hippo,Averroes,1
Augustine of Hippo,Bonaventure,1
Augustine of Hippo,Ibn Khaldun,1
Augustine of Hippo,Meister Eckhart,1
Augustine of Hippo,William of Ockham,1
Augustine of Hippo,Roger Bacon,1
Augustine of Hippo,Thomas Aquinas,1
Augustine of Hippo,John Locke,1
Augustine of Hippo,Blaise Pascal,1
Augustine of Hippo,Baruch Spinoza,1
Augustine of Hippo,Voltaire,1
Augustine of Hippo,David Hume,1
Augustine of Hippo,Immanuel Kant,1
Augustine of Hippo,Gottlob Frege,1
Augustine of Hippo,Martin Heidegger,1
Augustine of Hippo,Edmund Husserl,1
Augustine of Hippo,William James,1
Augustine of Hippo,Karl Marx,1
Augustine of Hippo,Friedrich Nietzsche,1
Augustine of Hippo,Bertrand Russell,1
Augustine of Hippo,Ludwig Wittgenstein,1
Augustine of Hippo,Daniel Dennett,1
Augustine of Hippo,Peter van Inwagen,1
Augustine of Hippo,Alasdair MacIntyre,1
Augustine of Hippo,Alvin Plantinga,1
Augustine of Hippo,Nicholas Wolterstorff,1
Avicenna,Aristotle,1
Avicenna,Plato,1
Avicenna,Socrates,1
Avicenna,Solomon,1
Avicenna,Arius,1
Avicenna,Al-Farabi,1
Avicenna,Al-Ghazali,1
Avicenna,Averroes,1
Avicenna,Ibn Khaldun,1
Avicenna,William of Ockham,1
Avicenna,Roger Bacon,1
Avicenna,Thomas Aquinas,1
Bede,Cicero,1
Bede,Solomon,1
Bede,Arius,1
Bede,Augustine of Hippo,1
Bede,Tertullian,1
Bede,Anselm,1
Bede,Bonaventure,1
Bede,Meister Eckhart,1
Bede,William of Ockham,1
Bede,Roger Bacon,1
Bede,Thomas Aquinas,1
Bede,Blaise Pascal,1
Bede,Alasdair MacIntyre,1
Al-Farabi,Aristotle,1
Al-Farabi,Cicero,1
Al-Farabi,Confucius,1
Al-Farabi,Han Fei,1
Al-Farabi,Mencius,1
Al-Farabi,Mozi,1
Al-Farabi,Plato,1
Al-Farabi,Socrates,1
Al-Farabi,Solomon,1
Al-Farabi,Sun Tzu,1
Al-Farabi,Thucydides,1
Al-Farabi,Xenophon,1
Al-Farabi,Arius,1
Al-Farabi,Avicenna,1
Al-Farabi,Plotinus,1
Al-Farabi,Proclus,1
Al-Farabi,Tertullian,1
Al-Farabi,Al-Ghazali,1
Al-Farabi,Anselm,1
Al-Farabi,Averroes,1
Al-Farabi,Bonaventure,1
Al-Farabi,Ibn Khaldun,1
Al-Farabi,Meister Eckhart,1
Al-Farabi,Blaise Pascal,1
Al-Farabi,Voltaire,1
Al-Farabi,Gottlob Frege,1
Al-Farabi,Edmund Husserl,1
Al-Farabi,Peter van Inwagen,1
Al-Farabi,Alvin Plantinga,1
Al-Farabi,Nicholas Wolterstorff,1
Plotinus,Aristotle,1
Plotinus,Cicero,1
Plotinus,Mozi,1
Plotinus,Plato,1
Plotinus,Socrates,1
Plotinus,Solomon,1
Plotinus,Xenophon,1
Plotinus,Arius,1
Plotinus,Augustine of Hippo,1
Plotinus,Avicenna,1
Plotinus,Al-Farabi,1
Plotinus,Proclus,1
Plotinus,Al-Ghazali,1
Plotinus,Anselm,1
Plotinus,Averroes,1
Plotinus,Bonaventure,1
Plotinus,Meister Eckhart,1
Plotinus,Thomas Aquinas,1
Plotinus,Blaise Pascal,1
Plotinus,Gottlob Frege,1
Plotinus,Edmund Husserl,1
Plotinus,Bertrand Russell,1
Plotinus,Peter van Inwagen,1
Plotinus,Alvin Plantinga,1
Plotinus,Nicholas Wolterstorff,1
Proclus,Aristotle,1
Proclus,Cicero,1
Proclus,Plato,1
Proclus,Arius,1
Proclus,Al-Farabi,1
Proclus,Plotinus,1
Proclus,Anselm,1
Proclus,Bonaventure,1
Proclus,Meister Eckhart,1
Proclus,Thomas Aquinas,1
Proclus,Blaise Pascal,1
Proclus,Gottlob Frege,1
Proclus,Edmund Husserl,1
Proclus,Peter van Inwagen,1
Proclus,Alvin Plantinga,1
Proclus,Nicholas Wolterstorff,1
Tertullian,Cicero,1
Tertullian,Confucius,1
Tertullian,Mencius,1
Tertullian,Mozi,1
Tertullian,Plato,1
Tertullian,Thucydides,1
Tertullian,Augustine of Hippo,1
Tertullian,Bede,1
Tertullian,Proclus,1
Tertullian,Anselm,1
Tertullian,Bonaventure,1
Tertullian,Ibn Khaldun,1
Tertullian,Meister Eckhart,1
Tertullian,William of Ockham,1
Tertullian,Roger Bacon,1
Tertullian,Thomas Aquinas,1
Tertullian,Blaise Pascal,1
Tertullian,Voltaire,1
Tertullian,Alasdair MacIntyre,1
Al-Ghazali,Aristotle,1
Al-Ghazali,Cicero,1
Al-Ghazali,Confucius,1
Al-Ghazali,Han Fei,1
Al-Ghazali,Mencius,1
Al-Ghazali,Mozi,1
Al-Ghazali,Plato,1
Al-Ghazali,Solomon,1
Al-Ghazali,Sun Tzu,1
Al-Ghazali,Thucydides,1
Al-Ghazali,Xenophon,1
Al-Ghazali,Augustine of Hippo,1
Al-Ghazali,Avicenna,1
Al-Ghazali,Al-Farabi,1
Al-Ghazali,Anselm,1
Al-Ghazali,Averroes,1
Al-Ghazali,Bonaventure,1
Al-Ghazali,Ibn Khaldun,1
Al-Ghazali,Meister Eckhart,1
Al-Ghazali,William of Ockham,1
Al-Ghazali,Roger Bacon,1
Al-Ghazali,Thomas Aquinas,1
Al-Ghazali,Voltaire,1
Al-Ghazali,David Hume,1
Al-Ghazali,William James,1
Anselm,Aristotle,1
Anselm,Cicero,1
Anselm,Plato,1
Anselm,Solomon,1
Anselm,Arius,1
Anselm,Augustine of Hippo,1
Anselm,Avicenna,1
Anselm,Bede,1
Anselm,Al-Farabi,1
Anselm,Plotinus,1
Anselm,Proclus,1
Anselm,Tertullian,1
Anselm,Al-Ghazali,1
Anselm,Averroes,1
Anselm,Bonaventure,1
Anselm,Ibn Khaldun,1
Anselm,Meister Eckhart,1
Anselm,William of Ockham,1
Anselm,Roger Bacon,1
Anselm,Thomas Aquinas,1
Anselm,Blaise Pascal,1
Anselm,Baruch Spinoza,1
Anselm,David Hume,1
Anselm,Immanuel Kant,1
Anselm,Gottlob Frege,1
Anselm,Edmund Husserl,1
Anselm,William James,1
Anselm,Karl Marx,1
Anselm,Friedrich Nietzsche,1
Anselm,Bertrand Russell,1
Anselm,Daniel Dennett,1
Anselm,Peter van Inwagen,1
Anselm,Alasdair MacIntyre,1
Anselm,Alvin Plantinga,1
Anselm,Nicholas Wolterstorff,1
Averroes,Aristotle,1
Averroes,Cicero,1
Averroes,Confucius,1
Averroes,Han Fei,1
Averroes,Mencius,1
Averroes,Mozi,1
Averroes,Plato,1
Averroes,Solomon,1
Averroes,Sun Tzu,1
Averroes,Thucydides,1
Averroes,Xenophon,1
Averroes,Augustine of Hippo,1
Averroes,Avicenna,1
Averroes,Al-Farabi,1
Averroes,Al-Ghazali,1
Averroes,Anselm,1
Averroes,Bonaventure,1
