번호,이름
1,소크라테스 (Socrates)
2,플라톤 (Plato)
3,아리스토텔레스 (Aristotle)
4,헤라클레이토스 (Heraclitus)
5,파르메니데스 (Parmenides)
6,공자 (Confucius)
7,에피쿠로스 (Epicurus)
8,제논 (Zeno of Citium)
9,플로티노스 (Plotinus)
10,아우구스티누스 (Augustine)
11,아비센나 (Avicenna)
12,안셀무스 (Anselm)
13,아베로에스 (Averroes)
14,토마스 아퀴나스 (T. Aquinas)
15,마키아벨리 (Machiavelli)
16,르네 데카르트 (René Descartes)
17,토머스 홉스 (Thomas Hobbes)
18,바뤼흐 스피노자 (Baruch Spinoza)
19,존 로크 (John Locke)
20,고트프리트 라이프니츠 (G. Leibniz)
21,데이비드 흄 (David Hume)
22,장자크 루소 (J.-J. Rousseau)
23,임마누엘 칸트 (Immanuel Kant)
24,게오르크 헤겔 (G. W. F. Hegel)
25,존 스튜어트 밀 (John Stuart Mill)
26,쇠렌 키르케고르 (S. Kierkegaard)
27,카를 마르크스 (Karl Marx)
28,프리드리히 니체 (F. Nietzsche)
29,에드문트 후설 (Edmund Husserl)
30,고틀로프 프레게 (Gottlob Frege)
31,찰스 샌더스 퍼스 (C. S. Peirce)
32,버트런드 러셀 (Bertrand Russell)
33,루트비히 비트겐슈타인 (L. Wittgenstein)
34,마르틴 하이데거 (Martin Heidegger)
35,칼 포퍼 (Karl Popper)
36,장폴 사르트르 (Jean-Paul Sartre)
37,시몬 드 보부아르 (S. de Beauvoir)
38,한나 아렌트 (Hannah Arendt)
39,윌러드 밴 오먼 콰인 (W. V. O. Quine)
40,토머스 쿤 (Thomas Kuhn)
41,존 롤스 (John Rawls)
42,미셸 푸코 (Michel Foucault)
43,자크 데리다 (Jacques Derrida)
44,위르겐 하버마스 (Jürgen Habermas)
45,질 들뢰즈 (Gilles Deleuze)
46,알베르 카뮈 (Albert Camus)
47,페르디낭 드 소쉬르 (F. de Saussure)
