Name,In_Standard_Top50,Standard_Rank,In_Gemini_Top50,Gemini_Rank
Plato,True,1.0,True,2.0
Aristotle,True,2.0,True,3.0
Cicero,True,3.0,False,
Averroes,True,4.0,True,13.0
Immanuel Kant,True,5.0,True,23.0
Voltaire,True,6.0,False,
Bertrand Russell,True,7.0,True,32.0
Confucius,True,8.0,True,6.0
Thomas Aquinas,True,9.0,True,14.0
Ibn Khaldun,True,10.0,False,
David Hume,True,11.0,True,21.0
Anselm,True,12.0,True,12.0
Mozi,True,13.0,False,
Socrates,True,14.0,True,1.0
Al-Ghazali,True,15.0,False,
Mencius,True,16.0,False,
Karl Marx,True,17.0,True,27.0
Solomon,True,18.0,False,
Al-Farabi,True,19.0,False,
Ludwig Wittgenstein,True,20.0,True,33.0
Friedrich Nietzsche,True,21.0,True,28.0
Avicenna,True,22.0,True,11.0
William James,True,23.0,False,
Arius,True,24.0,False,
John Locke,True,25.0,True,19.0
Martin Heidegger,True,26.0,True,34.0
Bonaventure,True,27.0,False,
Alvin Plantinga,True,28.0,False,
Blaise Pascal,True,29.0,False,
Edmund Husserl,True,30.0,True,29.0
Plotinus,True,31.0,True,9.0
Thucydides,True,32.0,False,
Bede,True,33.0,False,
Augustine of Hippo,True,34.0,False,
Karl Popper,True,35.0,True,35.0
Baruch Spinoza,True,36.0,True,18.0
Xenophon,True,37.0,False,
Nicholas Wolterstorff,True,38.0,False,
William of Ockham,True,39.0,False,
Tertullian,True,40.0,False,
Han Fei,True,41.0,False,
Sun Tzu,True,42.0,False,
Meister Eckhart,True,43.0,False,
Proclus,True,44.0,False,
Gottlob Frege,True,45.0,True,30.0
Peter van Inwagen,True,46.0,False,
Roger Bacon,True,47.0,False,
Alasdair MacIntyre,True,49.0,False,
Daniel Dennett,True,50.0,False,
Heraclitus,False,,True,4.0
Parmenides,False,,True,5.0
Epicurus,False,,True,7.0
Zeno of Citium,False,,True,8.0
Augustine,False,,True,10.0
Niccolò Machiavelli,False,,True,15.0
René Descartes,False,,True,16.0
Thomas Hobbes,False,,True,17.0
Gottfried Leibniz,False,,True,20.0
Jean-Jacques Rousseau,False,,True,22.0
Georg Wilhelm Friedrich Hegel,False,,True,24.0
John Stuart Mill,False,,True,25.0
Søren Kierkegaard,False,,True,26.0
Charles Sanders Peirce,False,,True,31.0
Jean-Paul Sartre,False,,True,36.0
Simone de Beauvoir,False,,True,37.0
Hannah Arendt,False,,True,38.0
Willard Van Orman Quine,False,,True,39.0
Thomas Kuhn,False,,True,40.0
John Rawls,False,,True,41.0
Michel Foucault,False,,True,42.0
Jacques Derrida,False,,True,43.0
Jürgen Habermas,False,,True,44.0
Gilles Deleuze,False,,True,45.0
Albert Camus,False,,True,46.0
Ferdinand de Saussure,False,,True,47.0
