Centrality_Type,Name,Century,RawCentrality,Calculated_In_Degree_Count,In-Degree Centrality,Out-Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality
In-Degree Centrality,Plato,BC,0,994,0.3076446920458062,0.0411637264004952,0.5368549839178812,0.0660558608917543,0.1996008347378072
In-Degree Centrality,Aristotle,BC,0,828,0.2562674094707521,0.0263076446920458,0.5150393220272252,0.0324937349912896,0.1708646240912
In-Degree Centrality,Cicero,BC,0,380,0.1176106468585577,0.0352831940575673,0.4586410576894422,0.0147800034304795,0.1141928164710949
In-Degree Centrality,Averroes,11th??4th,0,336,0.1039925719591457,0.0430207366140513,0.4600887883008356,0.0166432017783804,0.1234973570709426
In-Degree Centrality,Immanuel Kant,18th,0,328,0.1015165583410708,0.0467347570411637,0.4475165125382399,0.0277794328744181,0.0933410905596884
In-Degree Centrality,Voltaire,17th,0,320,0.0990405447229959,0.0244506344784896,0.4511875193737958,0.0182807881739809,0.0740384775135735
In-Degree Centrality,Bertrand Russell,19th,0,313,0.0968740328071804,0.0665428659857629,0.4528697471918742,0.0289957950220393,0.1150673824918562
In-Degree Centrality,Confucius,BC,0,312,0.096564531104921,0.0207366140513772,0.4557727583918222,0.0092002134705864,0.0843229241027175
In-Degree Centrality,Thomas Aquinas,11th??4th,0,311,0.0962550294026617,0.0541627978953884,0.4400185000262784,0.0211778008829496,0.1200000695041298
In-Degree Centrality,Ibn Khaldun,11th??4th,0,290,0.0897554936552151,0.0157845868152274,0.4506992211926554,0.0059132382492308,0.0891980125089944
In-Degree Centrality,David Hume,18th,0,286,0.0885174868461776,0.0560198081089446,0.4484114078871088,0.0256639661039214,0.106615583684169
In-Degree Centrality,Anselm,11th??4th,0,283,0.0875889817393995,0.0622098421541318,0.4268115025877151,0.0128732538355945,0.1165392746286676
In-Degree Centrality,Mozi,BC,0,277,0.0857319715258433,0.0194986072423398,0.45244801531493,0.0054140173784499,0.0888700154324946
In-Degree Centrality,Socrates,BC,0,267,0.0826369545032497,0.0303311668214175,0.4320620368569875,0.009945096442008,0.0755802251857031
In-Degree Centrality,Al-Ghazali,11th??4th,0,255,0.0789229340761374,0.0278551532033426,0.4439047605716605,0.0088624210413176,0.0888001758186082
In-Degree Centrality,Mencius,BC,0,254,0.078613432373878,0.0182606004333023,0.4421541881805088,0.0044754677490379,0.0709548468352217
In-Degree Centrality,Karl Marx,19th,0,253,0.0783039306716187,0.0411637264004952,0.4153187865328529,0.0174897513822824,0.0619968417135605
In-Degree Centrality,Solomon,BC,0,235,0.0727329000309501,0.0027855153203342,0.4110437905631831,0.0031815400163259,0.0636845716213911
In-Degree Centrality,Al-Farabi,1st??0th,0,226,0.0699473847106159,0.0362116991643454,0.4319339995072003,0.0077123668784816,0.0843009223011909
In-Degree Centrality,Ludwig Wittgenstein,19th,0,225,0.0696378830083565,0.0603528319405756,0.4300225051886849,0.0238833251483517,0.0804583037040795
In-Degree Centrality,Friedrich Nietzsche,19th,0,221,0.0683998761993191,0.0473537604456824,0.4096574708648249,0.0195391578631494,0.0624267863309045
In-Degree Centrality,Avicenna,1st??0th,0,217,0.0671618693902816,0.0201176106468585,0.4336044269930231,0.0047462752712433,0.1001103683196226
In-Degree Centrality,William James,19th,0,216,0.0668523676880222,0.0328071804394924,0.4098302492160965,0.0134052055802983,0.0729487069110285
In-Degree Centrality,Arius,1st??0th,0,207,0.064066852367688,0.0024760136180748,0.3951101331897662,0.0021792256951547,0.0625032341990894
In-Degree Centrality,John Locke,17th,0,201,0.0622098421541318,0.0250696378830083,0.4283795095773834,0.0116736031061863,0.0661934514013899
In-Degree Centrality,Martin Heidegger,19th,0,199,0.0615908387496131,0.0334261838440111,0.3948960393760626,0.0192410318615309,0.0428850295046949
In-Degree Centrality,Bonaventure,11th??4th,0,195,0.0603528319405756,0.0399257195914577,0.375418230865949,0.0037490396019299,0.0774012481077466
In-Degree Centrality,Alvin Plantinga,20th,0,195,0.0603528319405756,0.0507582791705354,0.4263121618417804,0.0082053651763668,0.1149953771056034
In-Degree Centrality,Blaise Pascal,17th,0,195,0.0603528319405756,0.0383782110801609,0.4034213344414745,0.004379188182789,0.0990719600680053
In-Degree Centrality,Edmund Husserl,19th,0,194,0.0600433302383163,0.0464252553389043,0.3976432359397209,0.0176379643374198,0.0626573217595524
In-Degree Centrality,Plotinus,1st??0th,0,189,0.0584958217270195,0.0436397400185701,0.4224203104874793,0.0077307596263266,0.0826295330836917
In-Degree Centrality,Thucydides,BC,0,188,0.0581863200247601,0.0129990714948932,0.4323183394148145,0.0030642014261454,0.0596461233646607
In-Degree Centrality,Bede,1st??0th,0,187,0.0578768183225007,0.021355617455896,0.3873917026809428,0.0038475813985304,0.0602411560232086
In-Degree Centrality,Augustine of Hippo,1st??0th,0,186,0.0575673166202414,0.0739709068399876,0.4034213344414745,0.0086111364798848,0.0922988203239051
In-Degree Centrality,Karl Popper,20th,0,185,0.057257814917982,0.0557103064066852,0.4101762435168277,0.0157043932440426,0.0671115783960929
In-Degree Centrality,Baruch Spinoza,17th,0,182,0.0563293098112039,0.0337356855462705,0.4243264283368405,0.0104023884810409,0.081789506827428
In-Degree Centrality,Xenophon,BC,0,182,0.0563293098112039,0.0099040544722995,0.4260629293589732,0.0007849082607782,0.0570814410851927
In-Degree Centrality,Nicholas Wolterstorff,20th,0,179,0.0554008047044258,0.0473537604456824,0.4243264283368405,0.0046863021883293,0.1125611402613315
In-Degree Centrality,William of Ockham,11th??4th,0,175,0.0541627978953884,0.0377592076756422,0.3930325687844269,0.0045588881922926,0.0829374009477486
In-Degree Centrality,Tertullian,1st??0th,0,173,0.0535437944908697,0.0229031259671928,0.4130238824984549,0.0023608496894738,0.0716746354683568
In-Degree Centrality,Han Fei,BC,0,172,0.0532342927886103,0.0173320953265242,0.4247592252184314,0.0024382099589595,0.0469574728029509
In-Degree Centrality,Sun Tzu,BC,0,171,0.0529247910863509,0.0170225936242649,0.4246973430469252,0.0022524729035967,0.0466942189868649
In-Degree Centrality,Meister Eckhart,11th??4th,0,168,0.0519962859795728,0.0554008047044258,0.3756117204837127,0.005533644473382,0.0733633696152361
In-Degree Centrality,Proclus,1st??0th,0,167,0.0516867842773135,0.0269266480965645,0.4162082470979575,0.0022471178070853,0.0806535544712326
In-Degree Centrality,Gottlob Frege,19th,0,167,0.0516867842773135,0.0501392757660167,0.3974805784938771,0.0109310387074307,0.082948806619211
In-Degree Centrality,Roger Bacon,11th??4th,0,166,0.0513772825750541,0.0420922315072732,0.3779002544301393,0.0047800434458682,0.0654797398041227
In-Degree Centrality,Peter van Inwagen,20th,0,166,0.0513772825750541,0.042711234911792,0.4060624826123547,0.0026226980445728,0.1017623689213636
In-Degree Centrality,Alasdair MacIntyre,20th,0,165,0.0510677808727948,0.0164035902197462,0.3914492497212427,0.0033806568181911,0.0861639756247842
In-Degree Centrality,Daniel Dennett,20th,0,165,0.0510677808727948,0.0714948932219127,0.4052158135493598,0.0179360192708133,0.0852384852407532 
