Name,RawCentrality
Plato,242
Aristotle,208
Cicero,154
Porphyry,116
Anselm,104
Socrates,103
Proclus,100
Xenocrates,95
Arius,94
Bonaventure,92
Plotinus,91
Arcesilaus,90
Al-Farabi,90
Menedemus,90
Carneades,89
Apuleius,88
Philo of Larissa,86
Speusippus,85
Iamblichus,85
Ibn Khaldun,84
Syrianus,84
Ammonius Hermiae,84
Damascius,83
Alcinous,83
Numenius of Apamea,82
Ammonius Saccas,82
Clement of Alexandria,81
Solomon,81
Henry of Ghent,80
Meister Eckhart,80
Pseudo-Dionysius the Areopagite,79
Pythagoras,78
Thomas Aquinas,77
Gorgias,77
Confucius,77
Averroes,77
Al-Ghazali,76
Chrysippus,76
Avicenna,72
Tertullian,72
Theophrastus,71
Galen,71
Al-Kindi,70
Democritus,69
Xenophon,68
Blaise Pascal,67
Pyrrho,66
Mozi,65
Marsilio Ficino,65
Mencius,65
Posidonius,65
Paul of Venice,65
Epicurus,65
Thales,63
Sextus Empiricus,63
Lucian,63
Augustine of Hippo,62
Giovanni Pico della Mirandola,62
Edward N. Zalta,62
Anaxagoras,61
Zeno of Citium,60
Zeno of Sidon,60
Epictetus,60
Marcus Aurelius,59
Hippias,59
Fakhr al-Din al-Razi,58
Cleanthes,56
Lucretius,56
Valluvar,56
Albertus Magnus,56
Alexander of Aphrodisias,55
Archytas,55
Panaetius,55
Adi Shankara,54
Thucydides,54
Ptolemy,54
Peter Lombard,54
Kapila,53
Parmenides,53
Leo Strauss,53
Ibn Hazm,53
Roger Bacon,53
Anaximander,52
Clitomachus,52
Ramanuja,52
William of Ockham,52
Hippasus,52
Han Fei,52
Protagoras,52
Strato of Lampsacus,52
Alvin Plantinga,51
Nicholas Wolterstorff,51
Duns Scotus,51
Abhinavagupta,51
Alcuin,51
Heraclides Ponticus,51
Empedocles,51
Peter van Inwagen,50
Antisthenes,50
Edmund Husserl,49
Jaimini,49
Longinus,49
Isidore of Seville,49
Sun Tzu,49
Giordano Bruno,48
Albinus,48
Apollonius of Tyana,48
Henri Bergson,47
Stilpo,47
Leucippus,47
Gottlob Frege,47
Ibn Arabi,47
Philostratus,47
Vasubandhu,47
Robert Grosseteste,47
Emanuel Swedenborg,46
Ralph Cudworth,46
Nicholas of Cusa,46
Saul Kripke,46
Aenesidemus,46
Calcidius,46
Buddhaghosa,46
G. E. Moore,46
Theodoric of Freiberg,45
Thrasymachus,45
Ralph Waldo Emerson,45
Michael Dummett,45
David the Invincible,45
Gaius Marius Victorinus,45
Henry More,45
Bernard Bolzano,45
Nagarjuna,45
