Name,In-Degree Centrality,Out-Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,RawCentrality,Calculated_In_Degree_Count,ActivityYear,AdjustedCentrality,Century
Akka Mahadevi,0.004333023831631,0.0012380068090374,0.267958687625158,9.350521447471828e-05,0.0003498597740819,0,14,1130.0,0.0,11th??4th
Bhoja,0.0046425255338904,0.0003095017022593,0.2411184915363188,2.785525933739347e-06,0.000254085157844,0,15,1010.0,0.0,11th??4th
Basava,0.0061900340451872,0.0074280408542246,0.2710985364711331,0.000576242331741,0.0004170371981811,0,20,1130.0,0.0,11th??4th
Kabir,0.0114515629835964,0.0095945527700402,0.3257120181758765,0.0019987033757742,0.0053842883545439,0,37,1398.0,0.0,11th??4th
Narahari Tirtha,0.0058805323429278,0.0037140204271123,0.2681065540949227,0.0003610533642963,0.0003824396206596,0,19,1243.0,0.0,11th??4th
Ramanuja,0.0238316310739709,0.0083565459610027,0.3269907529640039,0.002991822402107,0.0046840375570326,0,77,1017.0,0.0,11th??4th
Vedanta Desika,0.0173320953265242,0.0046425255338904,0.3166890345110369,0.0002574413823668,0.0030727709615242,0,56,1268.0,0.0,11th??4th
Dante Alighieri,0.0284741566078613,0.0263076446920458,0.3622620309027084,0.0022914948222408,0.0450845184747915,0,92,1265.0,0.0,11th??4th
Cheng Hao,0.01454658000619,0.0139275766016713,0.3204487812107392,0.0001192573890287,0.0075086173935589,0,47,1032.0,0.0,11th??4th
Cheng Yi,0.0148560817084493,0.0142370783039306,0.3204840108480755,8.484166462195075e-05,0.0075086173935589,0,48,1033.0,0.0,11th??4th
