Name,In-Degree Centrality,Out-Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,RawCentrality,Calculated_In_Degree_Count,ActivityYear,AdjustedCentrality
Jan Zwicky,0.0,0.0012380068090374,0.0,0.0,4.997075122549391e-32,0,0,1955.0,0.0
David Hume,0.0885174868461776,0.0560198081089446,0.4484114078871088,0.0256639661039214,0.106615583684169,0,286,1711.0,0.0
Immanuel Kant,0.1015165583410708,0.0467347570411637,0.4475165125382399,0.0277794328744181,0.0933410905596884,0,328,1724.0,0.0
Karl Leonhard Reinhold,0.004333023831631,0.0040235221293717,0.311278437018056,0.0008709180058155,0.0017631953885519,0,14,1757.0,0.0
Gottlob Ernst Schulze,0.0006190034045187,0.0015475085112968,0.2800578886227394,3.420989431254096e-06,0.0005400258866746,0,2,1761.0,0.0
Robert Fogelin,0.0037140204271123,0.0018570102135561,0.2960416941884934,2.215279209908935e-05,0.0031545317132648,0,12,1932.0,0.0
Benson Mates,0.0034045187248529,0.0021665119158155,0.2924187544060683,4.7935953721786185e-05,0.0027478268111484,0,11,1919.0,0.0
Agastya,0.0099040544722995,0.0086660476632621,0.3014604511555424,0.0008126364690809,0.0017350427345309,0,32,1000.0,0.0
Ashtavakra,0.0102135561745589,0.0080470442587434,0.2935376661639406,0.0002159459876397,0.0019617988365452,0,33,1000.0,0.0
Lopamudra,0.000928505106778,0.0006190034045187,0.2493475804186207,5.851593692869694e-07,7.968323624167239e-05,0,3,1950.0,0.0
Markandeya,0.0071185391519653,0.0037140204271123,0.2686006231156449,1.999079102915717e-05,0.0005549388601379,0,23,1000.0,0.0
Parashara,0.0034045187248529,0.007737542556484,0.2408993110217415,4.461991545611171e-05,0.0002409232025544,0,11,1200.0,0.0
Abhinavagupta,0.0309501702259362,0.0201176106468585,0.3619022424176405,0.0061324591290281,0.0118884413378813,0,100,1025.0,0.0
Damon Young,0.0,0.0006190034045187,0.0,0.0,4.997075122549391e-32,0,0,1975.0,0.0
Arthur M. Young,0.0,0.0006190034045187,0.0,0.0,4.997075122549391e-32,0,0,1905.0,0.0
John Edwin Smith,0.0003095017022593,0.0,0.1944292870508741,0.0,9.92266458938558e-07,0,1,1921.0,0.0
