movie_cd,title,director,actors,actor_count,release_date,genre,genre_count,production_year,show_time
20208245,핸섬가이즈,남동협,"['이성민', '이희준', '공승연', '박지환', '이규형', '장동주', '강기둥', '빈찬욱', '정화', '김도훈', '박경혜', '우현', '임원희', '이서환', '송유현', '제임스 호란']",16,20240626,['코미디'],1,2023,101
20232077,어른 김장하,김현지,['김장하'],1,20231115,['다큐멘터리'],1,2023,104
20232839,차박- 살인과 낭만의 밤,형인혁,"['데니 안/ 안신원', '김민채', '홍경인', '한민엽', '이윤지', '김학철', '임효진', '채 이', '최민성', '김정문', '임인정', '지연애', '조권상']",13,20230913,['스릴러'],1,2023,83
20227570,울산의 별,정기혁,"['김금순', '최우빈', '변중희', '주시현', '임정민', '고윤아', '조현준']",7,20240124,['드라마'],1,2022,117
20173761,犬견 : 버려진 아이들,서하늘,"['박재홍', '도윤', '한이진', '강소완', '손예은', '이윤경', '김은정', '이태린', '봉신주', '고재근', '김태성', '김현우', '임지민', '이민욱', '김하얀', '박혜진', '연수', '이나겸', '이상수', '송승환', '정채린', '전현진', '차성제', '방승우', '박선주', '하연이', '최찬숙', '이선주', '강수미', '이인규', '황성현', '이음', '유인혜', '홍수현', '최원정', '한상경', '전현수', '정규남', '문상민', '이도경', '임보현', '이영훈', '정민송', '박소윤', '한혜선', '이수혁', '강소백', '황수빈', '유영민', '정윤식', '신채이', '정진권', '김동주', '박제린', '이응철', '전수민', '홍제인', '권민혁', '박종원']",59,20201018,"['범죄', '스릴러']",2,2019,103
20200142,소방관,곽경택,"['주원', '곽도원', '유재명', '이유영', '김민재', '오대환', '이준혁', '장영남', '황성준', '허진', '홍상표', '김민주', '이용이', '정종준', '정기섭', '권영민', '김율호', '한재웅', '곽영신', '허승', '박세호', '홍재민', '최상재', '송우림', '김한솔', '박화진', '정기용', '유성주', '전현숙', '이강녕', '정효경', '김미화', '서민균', '홍명기', '전상진', '이재우', '민재경', '한기준', '박광설', '이상철', '최재욱', '고현웅', '한장훈', '탁환의', '이학렬', '심상민', '임태훈', '홍의정']",48,20241204,['드라마'],1,2024,106
20228796,하얼빈,우민호,"['현빈', '박정민', '조우진', '전여빈', '박훈', '유재명', '릴리 프랭키', '이동욱', '윤여원', '박제현', '이창근', '서민제', '왕승목', '신우철', '이윤환', '전재현', '김성광', '정승민']",18,20241224,['드라마'],1,2024,113
20249502,"침몰 10년, 제로썸",윤솔지,[],0,20241121,['다큐멘터리'],1,2024,89
20234686,그 여름날의 거짓말,손현록,"['박서윤', '최민재', '유병용', '윤재인', '김채원', '국형', '강유희', '김고은', '정창환', '신승호', '강다은', '강시은', '곽예지', '남의정', '동승환', '명석호', '노주연', '이은균', '성경희']",19,20240828,"['멜로/로맨스', '미스터리']",2,2024,138
20249477,자기만의 방,오세호,"['김환희', '김리예', '백현진', '지성빈', '권유진']",5,20241120,"['가족', '드라마', '코미디', '멜로/로맨스']",4,2024,92
20204271,행복의 나라,추창민,"['조정석', '이선균', '유재명', '우현', '이원종', '전배수', '송영규', '최원영', '강말금', '박훈', '이현균', '진기주', '유성주', '임철형', '김재철', '김법래', '권성일']",17,20240814,['드라마'],1,2024,124
20246269,면접교섭,이주아,[],0,20241225,['다큐멘터리'],1,2024,81
20199448,어린 의뢰인,장규성,"['이동휘', '유선', '최명빈', '이주원', '한대훈', '한동희', '부진설', '고수희', '서정연', '원현준', '이나라', '정준원', '이현균', '이지훈', '이로운', '이봄', '정희태', '김보연', '조덕현', '신미림', '정선희', '양희원', '장정연', '박미리', '강지현', '고경희', '도한나', '김가은', '서병철', '김나경', '박준희', '손광익', '배진아', '김명신', '백승철', '신영주', '변주현', '신정섭', '신혜정', '김보경', '오규택', '오정우', '오준호', '옥주리', '최민정', '장규성', '이주열', '허승', '이준형', '장한나', '제승현', '김호정', '전정일', '김종선', '정규연', '김시영', '김시윤', '조태일', '정민석', '고유림', '구순모', '권방현', '길상우', '이동영', '이동욱', '이미영', '임용순', '김주황', '이헌주', '조은혁', '정시후', '도건후', '주소망', '나주호', '주은옥', '남종수', '원현준', '한희정', '김태윤', '유이', '민정기', '차준희', '민효경', '윤성욱', '신나라', '정준원', '정지웅', '신아정', '안귀령', '이황의', '박지서', '전은미', '전하늘', '백연재', '백우재', '오효진', '하윤서', '한갑수', '한예성', '김성준', '조셉']",101,20190522,"['드라마', '가족']",2,2019,114
20232284,만분의 일초,김성환,"['주종혁', '문진승', '장준휘', '김용석', '최민철', '이주연', '박지아', '조유신', '전진기', '오자훈', '최웅희', '홍택근', '최선중']",13,20231115,"['액션', '드라마', '스릴러']",3,2023,99
20201792,액션동자,최영민,"['홍정민', '윤성우', '최현진', '함희수', '김서율', '배주원', '정종훈', '한형민', '송창수', '임태빈', '신우준', '엄주연', '서장현', '정지민', '박승준', '최양재', '최혜원', '박지우', '박지수', '최치우', '최소율', '홍라윤', '김연주', '강성현', '최경원', '이중현', '맹봉학', '김흥래', '장지웅', '한규남', '문호진', '박재현', '김종연', '신경호', '이재화', '김현아', '홍서준', '김찬미', '최정현', '김숙인', '정유미', '이정진', '노은정', '최창근', '신치영', '임희정', '박형경', '최영록', '김효진', '주영란', '이상협', '최건희', '공연해', '홍미영', '유상희', '임창재', '민경철', '윤영호', '이준일']",59,20220505,['액션'],1,2022,98
20217388,육지것들,이황,['소이'],1,20230608,['코미디'],1,2022,98
20234045,설계자,이요섭,"['강동원', '이무생', '이미숙', '이현욱', '탕준상', '김홍파', '김신록', '이동휘', '정은채', '현봉식', '윤복인', '이종석', '장희진', '우지현', '김태준', '최병윤', '유동훈', '김민광', '강주현', '나경철', '안예은', '이윤재', '하정민', '류한선', '손경원', '류성록', '이정현', '정기욱', '박정표', '오일영', '김낙균', '이두석', '박병관', '조정민', '정유진', '정우혁', '최정화', '이순풍', '김병철', '이은주', '박현실', '한상균', '윤단비', '박진감', '홍기주', '황재열', '홍석빈', '황재훈', '박강섭']",49,20240529,"['범죄', '드라마']",2,2022,99
20249733,사랑의 하츄핑,김수훈,"['이지현', '조경이', '최낙윤', '여민정', '홍소영', '홍범기', '김하영', '류승곤', '조현정', '김은아', '장예나', '엄상현']",12,20240807,['애니메이션'],1,2024,86
